Time,Temp1,Temp2,FlowRate,Heater,Cooler,Setpoint
2025-05-14 13:21:04.185684,38.63,38.94,5.69,0.0,100.0,35.0
2025-05-14 13:21:06.090215,38.63,38.94,10.8,0.0,15.28,35.0
2025-05-14 13:21:08.004960,38.63,38.94,10.61,0.0,15.35,35.0
2025-05-14 13:21:09.903585,38.56,38.94,5.63,0.0,14.99,35.0
2025-05-14 13:21:11.807807,38.56,38.88,7.2,0.0,14.94,35.0
2025-05-14 13:21:13.715758,38.63,38.88,4.11,0.0,15.76,35.0
2025-05-14 13:21:15.617579,38.63,38.88,8.74,0.0,15.53,35.0
2025-05-14 13:21:17.521611,38.63,38.88,5.91,0.0,15.6,35.0
2025-05-14 13:21:19.426835,38.69,38.81,8.45,0.0,15.68,35.0
2025-05-14 13:21:21.334979,38.69,38.81,7.84,0.0,15.75,35.0
2025-05-14 13:21:23.239460,38.69,38.81,7.04,0.0,15.83,35.0
2025-05-14 13:21:25.144273,38.69,38.81,6.88,0.0,15.9,35.0
